YEAR,COUNTY_NAME,Dist,DISTRICT_NAME,"2017-18 Total
K-12 Aid",2018-19 Governor's Budget Message (GBM) Total K-12 Aid,2018-19 Approp_Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Adjustment
Aid",TOTAL,"One Year
K-12 Aid
Difference",One Year Aid Percent Difference
2018-2019,Monmouth,130,Atlantic Highlands Boro,"166,526","190,897","190,897",0,0,0,"20,451","147,833","22,613",0,190897,"24,371",14.63%
2018-2019,Monmouth,180,Avon Boro,"182,458","195,349","195,349",0,0,0,"63,965","114,762","16,622",0,195349,"12,891",7.07%
2018-2019,Monmouth,270,Belmar Boro,"975,594","1,037,429","964,473",0,0,0,"181,768","320,357","158,409","303,939",964473,"-11,121",-1.14%
2018-2019,Monmouth,500,Bradley Beach Boro,"1,050,018","1,093,559","1,021,859",0,0,0,"85,575","221,110","134,097","581,077",1021859,"-28,159",-2.68%
2018-2019,Monmouth,560,Brielle Boro,"467,593","507,667","512,929",0,0,0,"121,923","376,655","14,351",0,512929,"45,336",9.70%
2018-2019,Monmouth,945,Colts Neck Twp,"1,025,733","1,136,070","1,136,070",0,0,0,"344,119","702,861","89,090",0,1136070,"110,337",10.76%
2018-2019,Monmouth,1000,Deal Boro,"2,115,112","2,239,229","2,238,599",0,0,"2,039,184","31,046","149,600","18,769",0,2238599,"123,487",5.84%
2018-2019,Monmouth,1260,Eatontown Boro,"3,774,541","3,897,784","3,647,236","728,620",0,0,"259,295","753,200","284,164","1,621,957",3647236,"-127,305",-3.37%
2018-2019,Monmouth,1440,Fair Haven Boro,"466,724","516,557","535,188",0,0,0,"44,525","417,986","72,677",0,535188,"68,464",14.67%
2018-2019,Monmouth,1490,Farmingdale Boro,"785,824","805,470","805,470","503,920",0,0,"5,923","94,325","27,049","174,253",805470,"19,646",2.50%
2018-2019,Monmouth,1640,Freehold Boro,"10,699,812","11,234,803","13,862,567","11,277,039",0,0,"407,350","1,438,457","739,721",0,13862567,"3,162,755",29.56%
2018-2019,Monmouth,1650,Freehold Regional,"51,564,083","51,564,083","50,296,156","40,713,982",0,0,"1,816,395","7,030,185","735,594",0,50296156,"-1,267,927",-2.46%
2018-2019,Monmouth,1660,Freehold Twp,"4,266,774","4,596,132","4,527,805","1,100,169",0,0,"709,345","2,624,533","93,758",0,4527805,"261,031",6.12%
2018-2019,Monmouth,2105,Hazlet Twp,"12,727,947","12,909,497","12,550,373","10,451,173",0,0,"91,986","1,936,203","71,011",0,12550373,"-177,574",-1.40%
2018-2019,Monmouth,2120,Henry Hudson Regional,"784,617","829,155","767,898",0,0,0,"183,003","264,676","60,908","259,311",767898,"-16,719",-2.13%
2018-2019,Monmouth,2160,Highlands Boro,"629,388","647,057","609,259",0,0,0,"42,233","155,353","58,540","353,133",609259,"-20,129",-3.20%
2018-2019,Monmouth,2230,Holmdel Twp,"2,016,705","2,246,720","2,339,427",0,0,0,"721,124","1,479,185","139,118",0,2339427,"322,722",16.00%
2018-2019,Monmouth,2290,Howell Twp,"33,158,120","33,540,599","32,626,626","27,465,312",0,0,"903,761","3,740,074","517,479",0,32626626,"-531,494",-1.60%
2018-2019,Monmouth,2320,Interlaken,"63,529","65,117","65,117",0,0,0,"35,061","11,623","1,612","16,821",65117,"1,588",2.50%
2018-2019,Monmouth,2400,Keansburg Boro,"26,830,161","26,990,877","26,538,616","16,973,265",0,0,"334,763","1,023,215","535,157","7,672,216",26538616,"-291,545",-1.09%
2018-2019,Monmouth,2430,Keyport Boro,"5,522,076","5,751,498","5,751,498","4,872,712",0,0,"39,799","561,081","277,906",0,5751498,"229,422",4.16%
2018-2019,Monmouth,2720,Little Silver Boro,"357,854","398,966","492,709",0,0,0,"71,696","356,685","64,328",0,492709,"134,855",37.68%
2018-2019,Monmouth,2770,Long Branch City,"43,224,236","45,385,448","45,385,448","37,671,938",0,0,"1,003,772","4,321,902","2,387,836",0,45385448,"2,161,212",5.00%
2018-2019,Monmouth,2920,Manalapan-Englishtown Reg,"19,440,358","19,938,658","18,773,314","12,610,419",0,0,"1,968,298","3,767,124","427,473",0,18773314,"-667,044",-3.43%
2018-2019,Monmouth,2930,Manasquan Boro,"624,883","721,224","721,224",0,0,0,"76,841","539,919","83,868","20,596",721224,"96,341",15.42%
2018-2019,Monmouth,3030,Marlboro Twp,"11,418,511","11,688,880","11,161,748","6,247,588",0,0,"1,189,069","3,375,643","349,448",0,11161748,"-256,763",-2.25%
2018-2019,Monmouth,3040,Matawan-Aberdeen Regional,"12,396,728","12,706,646","12,706,646","9,386,075",0,0,"849,277","2,297,673","173,621",0,12706646,"309,918",2.50%
2018-2019,Monmouth,3160,Middletown Twp,"17,481,823","18,345,222","17,167,245","966,925",0,0,"3,160,000","7,019,398","861,307","5,159,615",17167245,"-314,578",-1.80%
2018-2019,Monmouth,3200,Millstone Twp,"4,799,939","4,950,531","4,695,215","2,349,161",0,0,"921,823","1,263,326","160,905",0,4695215,"-104,724",-2.18%
2018-2019,Monmouth,3250,Monmouth Beach Boro,"158,713","180,433","180,433",0,0,0,"30,330","139,229","10,874",0,180433,"21,720",13.69%
2018-2019,Monmouth,3260,Monmouth Co Vocational,"8,120,555","8,350,800","8,120,555","4,003,057",0,0,0,"1,572,980","208,928","2,335,590",8120555,0,0.00%
2018-2019,Monmouth,3270,Monmouth Regional,"3,298,990","3,592,401","3,205,090","299,370",0,0,"669,909","805,780","181,421","1,248,610",3205090,"-93,900",-2.85%
2018-2019,Monmouth,3500,Neptune City,"2,061,529","2,061,529","2,008,196","1,569,105",0,0,"56,921","348,450","33,720",0,2008196,"-53,333",-2.59%
2018-2019,Monmouth,3510,Neptune Twp,"32,091,785","32,203,585","31,484,609","25,407,093",0,0,"1,589,446","2,404,326","1,222,886","860,858",31484609,"-607,176",-1.89%
2018-2019,Monmouth,3810,Ocean Twp,"7,614,796","8,079,720","7,472,792",0,0,0,"1,729,784","2,526,776","552,389","2,663,843",7472792,"-142,004",-1.87%
2018-2019,Monmouth,3830,Oceanport Boro,"457,470","506,896","498,088",0,0,0,"92,108","360,177","20,253","25,550",498088,"40,618",8.88%
2018-2019,Monmouth,4360,Red Bank Boro,"3,570,056","3,748,559","5,537,219","3,505,434",0,0,"189,188","1,208,304","634,293",0,5537219,"1,967,163",55.10%
2018-2019,Monmouth,4365,Red Bank Regional,"1,047,307","1,172,363","1,172,363","85,945",0,0,"329,380","586,997","149,757","20,284",1172363,"125,056",11.94%
2018-2019,Monmouth,4520,Roosevelt Boro,"1,000,970","1,000,970","979,481","470,385",0,"330,290","63,927","68,205","8,957","37,717",979481,"-21,489",-2.15%
2018-2019,Monmouth,4570,Rumson Boro,"433,575","491,751","607,623",0,0,0,"112,978","417,318","77,327",0,607623,"174,048",40.14%
2018-2019,Monmouth,4580,Rumson-Fair Haven Reg,"500,251","557,793","698,899",0,0,0,"266,811","417,025","15,063",0,698899,"198,648",39.71%
2018-2019,Monmouth,4690,Sea Girt Boro,"112,818","129,193","129,193",0,0,0,"13,842","103,939","11,412",0,129193,"16,375",14.51%
2018-2019,Monmouth,4760,Shore Regional,"471,868","549,018","549,018",0,0,0,"151,104","386,807","11,107",0,549018,"77,150",16.35%
2018-2019,Monmouth,4770,Shrewsbury Boro,"253,810","286,834","286,834",0,0,0,"14,089","228,214","36,888","7,643",286834,"33,024",13.01%
2018-2019,Monmouth,4840,Lake Como,"579,627","589,446","562,756","168,669",0,0,"78,805","132,338","47,816","135,128",562756,"-16,871",-2.91%
2018-2019,Monmouth,4980,Spring Lake Boro,"201,306","233,324","233,324",0,0,0,"57,263","171,002","5,059",0,233324,"32,018",15.91%
2018-2019,Monmouth,4990,Spring Lake Heights Boro,"334,236","370,318","370,318",0,0,0,"74,591","286,470","9,257",0,370318,"36,082",10.80%
2018-2019,Monmouth,5185,Tinton Falls,"3,519,232","3,690,396","3,459,542",0,0,0,"982,013","986,472","196,966","1,294,091",3459542,"-59,690",-1.70%
2018-2019,Monmouth,5230,Union Beach,"8,283,817","8,283,817","8,144,561","7,444,810",0,0,"12,799","658,640","28,312",0,8144561,"-139,256",-1.68%
2018-2019,Monmouth,5310,Upper Freehold Regional,"5,655,615","5,847,057","5,844,706","2,939,719",0,"1,358,965","431,910","990,729","123,383",0,5844706,"189,091",3.34%
2018-2019,Monmouth,5420,Wall Twp,"3,716,167","4,030,939","4,030,939",0,0,0,"1,204,850","2,484,152","341,937",0,4030939,"314,772",8.47%
2018-2019,Monmouth,5640,West Long Branch Boro,"302,812","343,940","343,940",0,0,0,"74,264","257,366","12,310",0,343940,"41,128",13.58%
2018-2019,Monmouth,5645,Loch Arbour,0,"3,944","3,944",0,0,0,"3,711",0,233,0,3944,"3,944", 
2018-2019,Morris,450,Boonton Town,"1,322,889","1,380,639","2,004,851","700,253",0,"47,868","58,651","959,170","238,909",0,2004851,"681,962",51.55%
2018-2019,Morris,460,Boonton Twp,"500,781","554,841","554,841",0,0,0,"138,307","403,507","13,027",0,554841,"54,060",10.80%
2018-2019,Morris,630,Butler Boro,"2,014,571","2,110,420","2,110,420","1,257,952",0,"14,212","215,738","583,508","39,010",0,2110420,"95,849",4.76%
2018-2019,Morris,785,Sch Dist Of The Chathams,"2,171,620","2,340,774","2,690,817",0,0,0,"723,961","1,806,940","159,916",0,2690817,"519,197",23.91%
2018-2019,Morris,820,Chester Twp,"1,088,727","1,193,764","1,193,764",0,0,0,"269,121","862,238","62,405",0,1193764,"105,037",9.65%
2018-2019,Morris,1090,Denville Twp,"1,252,597","1,375,127","1,375,127",0,0,0,"295,264","1,050,628","29,235",0,1375127,"122,530",9.78%
2018-2019,Morris,1110,Dover Town,"25,905,898","27,201,193","28,147,192","23,535,267",0,0,"413,123","2,765,706","1,433,096",0,28147192,"2,241,294",8.65%
2018-2019,Morris,1190,East Hanover Twp,"707,628","789,453","789,453",0,0,0,"178,676","593,490","17,287",0,789453,"81,825",11.56%
2018-2019,Morris,1530,Florham Park Boro,"531,716","604,234","621,870",0,0,0,"161,007","441,376","19,487",0,621870,"90,154",16.96%
2018-2019,Morris,1990,Hanover Park Regional,"958,875","1,080,395","1,354,763",0,0,0,"640,159","689,427","25,177",0,1354763,"395,888",41.29%
2018-2019,Morris,2000,Hanover Twp,"927,058","1,031,052","1,031,052",0,0,0,"214,496","790,889","25,667",0,1031052,"103,994",11.22%
2018-2019,Morris,2010,Harding Township,"272,118","295,207","408,957",0,0,0,"319,770","56,928","32,259",0,408957,"136,839",50.29%
2018-2019,Morris,2380,Jefferson Twp,"15,852,125","16,063,269","15,508,649","12,431,553",0,0,"636,026","2,137,733","303,337",0,15508649,"-343,476",-2.17%
2018-2019,Morris,2460,Kinnelon Boro,"1,573,429","1,722,414","1,722,414",0,0,0,"430,416","1,127,229","164,769",0,1722414,"148,985",9.47%
2018-2019,Morris,2650,Lincoln Park Boro,"1,630,858","1,732,894","1,702,606",0,0,0,"635,819","826,572","136,362","103,853",1702606,"71,748",4.40%
2018-2019,Morris,2870,Madison Boro,"1,132,430","1,246,395","1,523,524",0,0,0,"255,898","1,062,247","205,379",0,1523524,"391,094",34.54%
2018-2019,Morris,3090,Mendham Boro,"273,385","298,262","302,931",0,0,0,"47,259","220,005","35,667",0,302931,"29,546",10.81%
2018-2019,Morris,3100,Mendham Twp,"472,213","546,193","570,352",0,0,0,"198,422","357,973","13,957",0,570352,"98,139",20.78%
2018-2019,Morris,3240,Mine Hill Twp,"2,870,825","3,029,963","3,029,963","1,237,812",0,"1,229,965","171,868","348,338","41,980",0,3029963,"159,138",5.54%
2018-2019,Morris,3340,Montville Twp,"2,083,238","2,367,682","2,726,670",0,0,0,"1,018,949","1,637,107","70,614",0,2726670,"643,432",30.89%
2018-2019,Morris,3365,Morris County Vocational,"1,233,065","1,320,581","1,233,065","73,419",0,0,0,"594,887","90,697","474,062",1233065,0,0.00%
2018-2019,Morris,3370,Morris Hills Regional,"7,765,255","8,100,974","8,100,974","3,725,355",0,"1,951,360","554,744","1,811,283","58,232",0,8100974,"335,719",4.32%
2018-2019,Morris,3380,Morris Plains Boro,"808,316","838,634","838,634",0,0,"213,510","95,804","514,227","15,093",0,838634,"30,318",3.75%
2018-2019,Morris,3385,Morris School District,"6,835,444","7,228,022","7,228,022",0,0,"757,545","1,736,086","3,521,639","994,301","218,451",7228022,"392,578",5.74%
2018-2019,Morris,3410,Mount Arlington Boro,"557,623","615,365","615,365",0,0,0,"212,050","352,442","50,873",0,615365,"57,742",10.36%
2018-2019,Morris,3450,Mount Olive Twp,"15,593,413","15,983,248","15,983,248","11,850,036",0,0,"1,067,482","2,959,145","106,585",0,15983248,"389,835",2.50%
2018-2019,Morris,3460,Mountain Lakes Boro,"799,520","837,405","837,405",0,0,0,"78,377","720,067","38,961",0,837405,"37,885",4.74%
2018-2019,Morris,3520,Netcong Boro,"1,276,836","1,361,316","1,528,584","1,028,377",0,"146,556","18,938","264,802","69,911",0,1528584,"251,748",19.72%
2018-2019,Morris,3950,Parsippany-Troy Hills Twp,"4,926,399","5,530,152","5,530,152","92,029",0,0,"1,163,059","4,122,500","152,564",0,5530152,"603,753",12.26%
2018-2019,Morris,4000,Long Hill Twp,"667,029","737,138","737,138",0,0,0,"171,428","551,765","13,945",0,737138,"70,109",10.51%
2018-2019,Morris,4080,Pequannock Twp,"2,247,657","2,390,357","2,268,496","406,379",0,"43,002","124,035","1,526,522","168,558",0,2268496,"20,839",0.93%
2018-2019,Morris,4330,Randolph Twp,"12,819,909","12,987,457","12,483,020","7,895,104",0,0,"1,249,097","3,234,926","103,893",0,12483020,"-336,889",-2.63%
2018-2019,Morris,4440,Riverdale Boro,"272,361","300,732","325,606",0,0,0,"90,222","224,270","11,114",0,325606,"53,245",19.55%
2018-2019,Morris,4480,Rockaway Boro,"584,221","598,827","1,257,001","645,555",0,0,"60,781","476,643","74,022",0,1257001,"672,780",115.20%
2018-2019,Morris,4490,Rockaway Twp,"2,773,832","3,004,799","3,004,799","854,190",0,0,"549,225","1,551,231","50,153",0,3004799,"230,967",8.33%
2018-2019,Morris,4560,Roxbury Twp,"13,908,190","14,172,685","13,722,000","10,300,890",0,"367,227","558,875","2,433,575","61,433",0,13722000,"-186,190",-1.34%
2018-2019,Morris,5520,Washington Twp,"8,064,202","8,248,777","7,807,073","5,580,975",0,0,"457,507","1,591,751","176,840",0,7807073,"-257,129",-3.19%
2018-2019,Morris,5660,West Morris Regional,"4,372,270","4,608,689","4,328,796","313,431",0,0,"1,396,979","2,078,066","213,804","326,516",4328796,"-43,474",-0.99%
2018-2019,Morris,5770,Wharton Boro,"4,421,522","4,596,901","4,596,901","3,121,219",0,"523,711","62,576","647,293","242,102",0,4596901,"175,379",3.97%
2018-2019,Ocean,185,Barnegat Twp,"20,154,629","20,440,810","20,440,810","17,844,465",0,0,"599,234","1,875,327","119,745","2,039",20440810,"286,181",1.42%
2018-2019,Ocean,210,Bay Head Boro,"70,208","72,910","72,910",0,0,0,"8,849","59,770","4,291",0,72910,"2,702",3.85%
2018-2019,Ocean,230,Beach Haven Boro,"226,743","236,619","236,588",0,0,"193,515",588,"39,164","3,321",0,236588,"9,845",4.34%
2018-2019,Ocean,320,Berkeley Twp,"2,424,703","2,560,810","2,560,810",0,0,0,"831,890","1,232,306","425,151","71,463",2560810,"136,107",5.61%
2018-2019,Ocean,530,Brick Twp,"35,304,821","36,055,619","34,142,597","9,463,269",0,0,"4,922,064","5,784,673","1,672,094","12,300,497",34142597,"-1,162,224",-3.29%
2018-2019,Ocean,770,Central Regional,"4,117,752","4,256,787","4,256,787",0,0,"1,419,283","1,325,310","1,160,698","295,909","55,587",4256787,"139,035",3.38%
2018-2019,Ocean,1150,Eagleswood Twp,"652,202","679,821","679,821","447,437",0,0,"59,476","91,218","36,819","44,871",679821,"27,619",4.24%
2018-2019,Ocean,2350,Island Heights Boro,"298,853","299,080","299,080",0,0,"181,468","11,068","65,219","9,976","31,349",299080,227,0.08%
2018-2019,Ocean,2360,Jackson Twp,"49,635,886","50,122,386","48,770,072","42,102,240",0,0,"601,355","5,211,500","854,977",0,48770072,"-865,814",-1.74%
2018-2019,Ocean,2480,Lacey Twp,"21,204,577","21,556,936","20,970,400","17,753,571",0,0,"228,519","2,504,516","483,794",0,20970400,"-234,177",-1.10%
2018-2019,Ocean,2500,Lakehurst Boro,"6,022,038","6,058,277","5,974,209","5,421,371",0,0,"70,662","346,881","135,295",0,5974209,"-47,829",-0.79%
2018-2019,Ocean,2520,Lakewood Twp,"24,793,040","25,032,282","23,465,461","15,070,904",0,0,"3,052,174","3,155,515","2,186,868",0,23465461,"-1,327,579",-5.36%
2018-2019,Ocean,2550,Lavallette Boro,"173,596","189,225","172,510",0,0,0,"56,079","100,707","15,724",0,172510,"-1,086",-0.63%
2018-2019,Ocean,2690,Little Egg Harbor Twp,"9,496,540","9,644,487","9,395,550","5,995,899",0,0,"1,038,502","994,903","381,470","984,776",9395550,"-100,990",-1.06%
2018-2019,Ocean,2760,Long Beach Island,"728,456","787,180","787,180",0,0,"560,320","69,509","125,543","31,808",0,787180,"58,724",8.06%
2018-2019,Ocean,2940,Manchester Twp,"5,450,389","5,739,048","5,406,832",0,0,0,"1,989,096","1,756,005","573,735","1,087,996",5406832,"-43,557",-0.80%
2018-2019,Ocean,3790,Ocean County Vocational,"5,585,095","5,727,595","5,585,095","2,014,757",0,0,0,"837,311","189,062","2,543,965",5585095,0,0.00%
2018-2019,Ocean,3800,Ocean Gate Boro,"930,598","953,863","953,863","825,262",0,0,"4,607","85,038","38,956",0,953863,"23,265",2.50%
2018-2019,Ocean,3820,Ocean Twp,"6,816,273","6,971,120","6,534,846",0,0,0,"443,920","541,176","176,928","5,372,822",6534846,"-281,427",-4.13%
2018-2019,Ocean,4105,Pinelands Regional,"11,155,600","11,422,378","11,128,086","8,420,721",0,"66,582","898,788","1,098,899","387,815","255,281",11128086,"-27,514",-0.25%
2018-2019,Ocean,4190,Plumsted Twp,"11,569,334","11,617,962","11,386,005","10,042,670",0,"344,110",0,"975,623","23,602",0,11386005,"-183,329",-1.59%
2018-2019,Ocean,4210,Point Pleasant Boro,"5,967,620","6,177,953","5,813,354","3,924,507",0,0,"41,071","1,663,733","184,043",0,5813354,"-154,266",-2.59%
2018-2019,Ocean,4220,Point Pleasant Beach,"506,265","583,748","583,748",0,0,0,"71,924","436,951","74,652",221,583748,"77,483",15.30%
2018-2019,Ocean,4710,Seaside Heights Boro,"1,030,432","1,049,577","1,049,577","290,304",0,"86,577","11,203","184,630","92,138","384,725",1049577,"19,145",1.86%
2018-2019,Ocean,4720,Seaside Park Boro,"154,075","170,619","151,067",0,0,0,"30,123","23,271","10,018","87,655",151067,"-3,008",-1.95%
2018-2019,Ocean,4950,Southern Regional,"2,071,194","2,325,842","2,325,842",0,0,0,"630,356","1,491,463","204,023",0,2325842,"254,648",12.29%
2018-2019,Ocean,5020,Stafford Twp,"9,482,878","9,617,048","9,434,616","7,039,555",0,"360,252","507,193","1,288,981","238,635",0,9434616,"-48,262",-0.51%
2018-2019,Ocean,5190,Toms River Regional,"66,975,394","68,224,666","65,984,284","39,941,537",0,0,"5,458,073","9,865,327","2,538,055","8,181,292",65984284,"-991,110",-1.48%
2018-2019,Ocean,5220,Tuckerton Boro,"2,278,716","2,278,716","2,250,416","1,244,469",0,"412,000","35,403","207,010","51,045","300,489",2250416,"-28,300",-1.24%
2018-2019,Passaic,420,Bloomingdale Boro,"1,983,460","2,061,406","1,934,532","1,258,651",0,0,"102,123","557,300","16,458",0,1934532,"-48,928",-2.47%
2018-2019,Passaic,900,Clifton City,"30,054,160","31,556,868","35,056,868","21,114,282",0,0,"3,020,309","7,350,637","3,571,640",0,35056868,"5,002,708",16.65%
2018-2019,Passaic,1920,Haledon Boro,"7,205,174","7,565,433","7,565,433","6,313,556",0,0,"86,264","792,330","373,283",0,7565433,"360,259",5.00%
2018-2019,Passaic,2100,Hawthorne Boro,"2,401,936","2,461,985","3,036,150","646,220",0,0,"581,539","1,469,326","339,065",0,3036150,"634,214",26.40%
2018-2019,Passaic,2510,Lakeland Regional,"4,837,506","4,939,555","4,690,712","3,876,700",0,0,"106,500","687,768","19,744",0,4690712,"-146,794",-3.04%
2018-2019,Passaic,2700,Little Falls Twp,"575,388","629,500","633,506",0,0,0,"124,510","485,101","23,895",0,633506,"58,118",10.10%
2018-2019,Passaic,3640,North Haledon Boro,"430,615","450,923","450,923",0,0,0,"85,420","341,648","23,855",0,450923,"20,308",4.72%
2018-2019,Passaic,3970,Passaic City,"230,752,455","240,690,152","240,690,152","199,821,280","19,998,279",0,"1,978,076","12,147,460","6,745,057",0,240690152,"9,937,697",4.31%
2018-2019,Passaic,3980,Passaic Co Manchester Reg,"7,152,073","7,405,776","8,745,758","6,164,628",0,"1,320,176","214,979","743,489","302,486",0,8745758,"1,593,685",22.28%
2018-2019,Passaic,3990,Passaic Valley Regional,"1,080,544","1,174,612","1,174,612","140,892",0,0,"251,474","739,670","42,576",0,1174612,"94,068",8.71%
2018-2019,Passaic,3995,Passaic County Vocational,"21,841,555","22,933,633","26,433,633","22,092,947",0,0,0,"3,008,269","1,332,417",0,26433633,"4,592,078",21.02%
2018-2019,Passaic,4010,Paterson City,"405,727,233","426,013,595","426,013,595","381,654,410",0,0,"7,141,569","24,500,810","12,716,806",0,426013595,"20,286,362",5.00%
2018-2019,Passaic,4230,Pompton Lakes Boro,"4,104,769","4,226,372","4,226,372","2,936,607",0,"116,883","176,038","953,729","43,115",0,4226372,"121,603",2.96%
2018-2019,Passaic,4270,Prospect Park Boro,"8,225,747","8,637,034","8,637,034","7,410,842",0,0,"64,723","794,961","366,508",0,8637034,"411,287",5.00%
2018-2019,Passaic,4400,Ringwood Boro,"2,861,274","3,006,813","2,794,859","1,139,507",0,0,"573,133","983,693","98,526",0,2794859,"-66,415",-2.32%
2018-2019,Passaic,5200,Totowa Boro,"510,229","564,674","658,566",0,0,0,"150,414","433,789","74,363",0,658566,"148,337",29.07%
2018-2019,Passaic,5440,Wanaque Boro,"2,491,734","2,558,163","2,428,209","1,845,547",0,0,"11,642","547,530","23,490",0,2428209,"-63,525",-2.55%
2018-2019,Passaic,5570,Wayne Twp,"4,342,082","4,940,142","5,160,491",0,0,0,"1,449,581","3,556,094","154,816",0,5160491,"818,409",18.85%
2018-2019,Passaic,5650,West Milford Twp,"14,611,120","15,012,248","14,195,759","10,288,587",0,0,"842,009","2,725,234","339,929",0,14195759,"-415,361",-2.84%
2018-2019,Passaic,5690,Woodland Park,"1,061,269","1,114,333","1,429,068","206,972",0,0,"175,601","782,458","264,037",0,1429068,"367,799",34.66%
2018-2019,Salem,60,Alloway Twp,"3,695,217","3,735,871","3,652,934","3,016,688",0,0,"218,309","370,315","47,622",0,3652934,"-42,283",-1.14%
2018-2019,Salem,1350,Elsinboro Twp,"1,035,538","1,063,848","1,063,848","318,391",0,"540,510","64,294","90,502","40,720","9,431",1063848,"28,310",2.73%
2018-2019,Salem,2800,Lower Alloways Creek,"870,331","934,832","838,552","421,194",0,0,"135,665","140,233","23,353","118,107",838552,"-31,779",-3.65%
2018-2019,Salem,2950,Mannington Twp,"549,936","562,171","533,223","33,846",0,0,"117,432","106,577","29,905","245,463",533223,"-16,713",-3.04%
2018-2019,Salem,3860,Oldmans Twp,"2,080,486","2,099,061","2,099,061","965,799",0,"590,846","136,526","159,315","44,735","201,840",2099061,"18,575",0.89%
2018-2019,Salem,4070,Penns Grv-Carney'S Pt Reg,"21,895,154","22,989,912","22,989,912","20,220,763",0,0,"761,052","1,222,614","785,483",0,22989912,"1,094,758",5.00%
2018-2019,Salem,4075,Pennsville,"9,244,975","9,492,799","9,492,799","7,691,680",0,"194,724","528,133","1,010,823","67,439",0,9492799,"247,824",2.68%
2018-2019,Salem,4150,Pittsgrove Twp,"15,452,370","15,953,901","15,841,313","11,995,128",0,"1,412,928","838,537","1,251,682","343,038",0,15841313,"388,943",2.52%
2018-2019,Salem,4280,Quinton Twp,"3,469,863","3,530,041","3,530,041","2,693,296",0,"254,520","209,903","291,684","80,638",0,3530041,"60,178",1.73%
2018-2019,Salem,4630,Salem City,"16,399,991","16,678,731","16,678,731","13,075,991",0,"9,164","281,682","723,650","425,317","2,162,927",16678731,"278,740",1.70%
2018-2019,Salem,4640,Salem County Vocational,"4,848,291","5,090,706","5,090,706","4,410,263",0,0,0,"583,368","97,075",0,5090706,"242,415",5.00%
2018-2019,Salem,5320,Upper Pittsgrove Twp,"3,506,443","3,516,152","3,470,297","2,602,252",0,"241,364","271,073","300,139","55,469",0,3470297,"-36,146",-1.03%
2018-2019,Salem,5910,Woodstown-Pilesgrove Reg,"7,000,694","7,067,286","7,067,286","5,523,895",0,0,"376,448","735,403","191,878","239,662",7067286,"66,592",0.95%
2018-2019,Somerset,240,Bedminster Twp,"697,403","770,329","770,329",0,0,0,"217,074","487,018","66,237",0,770329,"72,926",10.46%
2018-2019,Somerset,350,Bernards Twp,"3,514,180","3,761,904","4,195,657",0,0,0,"1,296,717","2,797,493","101,447",0,4195657,"681,477",19.39%
2018-2019,Somerset,490,Bound Brook Boro,"9,756,139","10,295,918","13,795,918","10,797,482",0,"514,710","124,699","1,574,377","784,650",0,13795918,"4,039,779",41.41%
2018-2019,Somerset,510,Branchburg Twp,"2,068,646","2,265,302","2,265,302",0,0,0,"708,668","1,363,026","193,608",0,2265302,"196,656",9.51%
2018-2019,Somerset,555,Bridgewater-Raritan Reg,"9,560,332","10,035,953","10,035,953","2,018,666",0,0,"1,656,687","5,676,663","683,937",0,10035953,"475,621",4.98%
2018-2019,Somerset,1610,Franklin Twp,"13,488,853","13,966,339","13,966,339","5,706,043",0,0,"1,634,154","5,044,696","1,581,446",0,13966339,"477,486",3.54%
2018-2019,Somerset,1810,Green Brook Twp,"1,013,139","1,105,537","1,129,213",0,0,0,"289,595","791,279","48,339",0,1129213,"116,074",11.46%
2018-2019,Somerset,2170,Hillsborough Twp,"25,205,490","25,208,652","24,926,258","19,174,445",0,0,"968,117","4,589,091","194,605",0,24926258,"-279,232",-1.11%
2018-2019,Somerset,3000,Manville Boro,"6,054,385","6,357,104","9,335,032","7,417,386",0,0,"95,941","1,352,887","468,818",0,9335032,"3,280,647",54.19%
2018-2019,Somerset,3320,Montgomery Twp,"4,264,664","4,488,956","4,488,956",0,0,0,"1,389,953","2,703,972","395,031",0,4488956,"224,292",5.26%
2018-2019,Somerset,3670,North Plainfield Boro,"25,804,395","27,094,615","27,094,615","23,222,814",0,0,"314,548","2,219,988","1,337,265",0,27094615,"1,290,220",5.00%
2018-2019,Somerset,4810,Somerset Co Vocational,"1,428,562","1,543,011","1,428,562","580,221",0,0,0,"389,105","64,725","394,511",1428562,0,0.00%
2018-2019,Somerset,4815,Somerset Hills Regional,"994,791","1,084,445","1,299,065",0,0,0,"517,812","651,097","130,156",0,1299065,"304,274",30.59%
2018-2019,Somerset,4820,Somerville Boro,"5,794,175","6,083,884","6,820,299","4,722,811",0,0,"204,865","1,448,667","443,956",0,6820299,"1,026,124",17.71%
2018-2019,Somerset,4850,South Bound Brook,"3,454,933","3,627,680","3,627,680","3,046,297",0,0,"64,547","342,553","174,283",0,3627680,"172,747",5.00%
2018-2019,Somerset,5470,Warren Twp,"1,319,191","1,504,714","1,504,714",0,0,0,"387,630","1,082,524","34,560",0,1504714,"185,523",14.06%
2018-2019,Somerset,5540,Watchung Boro,"469,048","518,242","548,036",0,0,0,"160,229","375,176","12,631",0,548036,"78,988",16.84%
2018-2019,Somerset,5550,Watchung Hills Regional,"1,105,050","1,225,857","1,449,867",0,0,0,"616,602","750,169","83,096",0,1449867,"344,817",31.20%
